,name,url,Price,год выпуска,Пробег,Кузов,Цвет,Двигатель,Налог,Коробка,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Гарантия,VIN,Госномер,Владение,Обмен,Кузов №
800,LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1101311764-913b0255/,110 000 ₽,2007,240 000 км,седан,чёрный,1.6 л / 98 л.с. / Бензин,1 568 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XTA**************,******|163,,,
801,Volkswagen Touareg I,https://auto.ru/cars/used/sale/volkswagen/touareg/1102239148-4a8ab037/,300 000 ₽,2003,245 000 км,внедорожник 5 дв.,зелёный,3.2 л / 220 л.с. / Бензин,16 500 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,WVG**************,******|163,,,
802,ГАЗ 69,https://auto.ru/cars/used/sale/gaz/69/1101432114-cb4f37d7/,190 000 ₽,1960,55 895 км,внедорожник 3 дв.,зелёный,2.1 л / 55 л.с. / Бензин,880 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,,******|73,,Рассмотрю варианты,
803,Toyota Camry VI (XV40) Рестайлинг,https://auto.ru/cars/used/sale/toyota/camry/1095414652-08a855c5/,760 000 ₽,2009,126 000 км,седан,чёрный,2.4 л / 167 л.с. / Бензин,7 181 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XW7**************,******|163,,,
804,Lifan X60 I,https://auto.ru/cars/used/sale/lifan/x60/1101989680-6dbd561c/,202 200 ₽,2014,71 903 км,внедорожник 5 дв.,чёрный,1.8 л / 128 л.с. / Бензин,1 715 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,X9W**************,,2 года и 11 месяцев,,
805,LADA (ВАЗ) 2131 (4x4) I,https://auto.ru/cars/used/sale/vaz/2131_4x4/1101821957-2ae28786/,275 000 ₽,2015,96 000 км,внедорожник 5 дв.,серый,1.7 л / 83 л.с. / Бензин,1 328 ₽ / год,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTA**************,******|56,,,
806,Honda HR-V I Рестайлинг,https://auto.ru/cars/used/sale/honda/hr_v/1101838054-498bb1e5/,398 000 ₽,2003,190 000 км,внедорожник 5 дв.,золотистый,1.6 л / 124 л.с. / Бензин,4 092 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,JHM**************,******|163,,,
807,Datsun mi-DO,https://auto.ru/cars/used/sale/datsun/mi_do/1102090267-39e07e1b/,210 000 ₽,2015,120 000 км,хэтчбек 5 дв.,серый,1.6 л / 87 л.с. / Бензин,1 392 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,Z8N**************,******|763,,Рассмотрю варианты,
808,Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1102084389-f50036b3/,685 090 ₽,2014,112 000 км,внедорожник 5 дв.,чёрный,1.8 л / 140 л.с. / Бензин,4 620 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XUU**************,,,Рассмотрю варианты,
809,Lexus NX  I Рестайлинг 200,https://auto.ru/cars/used/sale/lexus/nx/1102083661-c8223d3e/,2 190 000 ₽,2017,68 000 км,внедорожник 5 дв.,красный,2.0 л / 150 л.с. / Бензин,4 950 ₽ / год,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,JTJ**************,,,,
810,Lexus RX  IV 350,https://auto.ru/cars/used/sale/lexus/rx/1102083663-14da97b0/,3 199 000 ₽,2015,55 000 км,внедорожник 5 дв.,серый,3.5 л / 300 л.с. / Бензин,45 000 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,JTJ**************,,,,
811,Geely Emgrand 7 I,https://auto.ru/cars/used/sale/geely/emgrand_7/1090117234-d7286912/,650 000 ₽,2016,12 000 км,седан,коричневый,1.8 л / 129 л.с. / Бензин,4 257 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,Y4K**************,******|82,,,
812,Hyundai i40 I,https://auto.ru/cars/used/sale/hyundai/i40/1092975266-cbc3db39/,680 000 ₽,2013,96 000 км,седан,серый,2.0 л / 150 л.с. / Бензин,4 950 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XWE**************,******|163,2 года и 7 месяцев,,
813,LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1102083490-6bab59c6/,550 000 ₽,2018,29 800 км,седан,белый,1.6 л / 106 л.с. / Бензин,2 544 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XTA**************,******|763,,,
814,Great Wall Hover H3 I Рестайлинг,https://auto.ru/cars/used/sale/great_wall/hoverh3/1102035340-14dd493f/,670 000 ₽,2014,98 000 км,внедорожник 5 дв.,чёрный,2.0 л / 150 л.с. / Бензин,4 950 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,Z8P**************,******|58,5 лет и 6 месяцев,Рассмотрю варианты,
815,Opel Corsa D,https://auto.ru/cars/used/sale/opel/corsa/1102087023-6b8ade0f/,220 000 ₽,2007,165 000 км,хэтчбек 5 дв.,чёрный,"1.4 л / 90 л.с. / Бензин, газобаллонное оборудование",1 440 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,W0L**************,******|163,3 года и 11 месяцев,Рассмотрю варианты,
816,LADA (ВАЗ) 2131 (4x4) I,https://auto.ru/cars/used/sale/vaz/2131_4x4/1101717793-b196bd58/,165 000 ₽,2011,146 040 км,внедорожник 5 дв.,серый,1.7 л / 81 л.с. / Бензин,1 296 ₽ / год,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTA**************,******|163,,,
817,Nissan X-Trail I,https://auto.ru/cars/used/sale/nissan/x_trail/1101515208-6af05afc/,450 000 ₽,2006,232 000 км,внедорожник 5 дв.,чёрный,2.0 л / 140 л.с. / Бензин,4 620 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,JN1**************,******|163,,,
818,Lexus LS  III 430,https://auto.ru/cars/used/sale/lexus/ls/1095183946-a7d2fc0f/,430 000 ₽,2002,210 000 км,седан,серебристый,4.3 л / 282 л.с. / Бензин,42 300 ₽ / год,автоматическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,JTH**************,******|163,,,
819,Kia Optima III Рестайлинг,https://auto.ru/cars/used/sale/kia/optima/1096842118-8fdfd1af/,1 100 000 ₽,2014,49 000 км,седан,чёрный,2.4 л / 180 л.с. / Бензин,7 740 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XWE**************,******|163,,,
820,Suzuki Jimny III,https://auto.ru/cars/used/sale/suzuki/jimny/1092989258-5d927f85/,330 000 ₽,1998,9 000 км,внедорожник 3 дв.,серый,1.3 л / 80 л.с. / Бензин,1 280 ₽ / год,автоматическая,полный,Правый,Не требует ремонта,3 или более,Дубликат,Растаможен,,,******|102,,,JB33W***********
821,Land Rover Discovery V,https://auto.ru/cars/used/sale/land_rover/discovery/1102089645-908d286c/,4 290 000 ₽,2018,42 600 км,внедорожник 5 дв.,синий,3.0 л / 249 л.с. / Дизель,18 675 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,SAL**************,,,Рассмотрю варианты,
822,LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1102247890-8b8318b8/,187 000 ₽,2011,152 000 км,седан,белый,1.4 л / 89 л.с. / Бензин,1 424 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTA**************,******|163,,,
823,Mitsubishi Lancer X Рестайлинг,https://auto.ru/cars/used/sale/mitsubishi/lancer/1101776557-1454bb61/,410 000 ₽,2012,64 698 км,седан,серебристый,1.6 л / 117 л.с. / Бензин,819 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,JMB**************,,3 года,,
824,LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1101435024-70d33b7f/,185 000 ₽,2008,170 000 км,седан,чёрный,1.8 л / 98 л.с. / Бензин,1 568 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,X7Y**************,******|163,,,
825,Renault Latitude I,https://auto.ru/cars/used/sale/renault/latitude/1082145688-74ed47/,750 000 ₽,2012,150 000 км,седан,серебристый,2.5 л / 177 л.с. / Бензин,7 611 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,X7L**************,******|763,,,
826,LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1098379452-4f163b52/,140 000 ₽,2011,180 000 км,хэтчбек 5 дв.,чёрный,1.6 л / 81 л.с. / Бензин,1 296 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XTA**************,******|763,,,
827,Nissan Murano II (Z51) Рестайлинг 2,https://auto.ru/cars/used/sale/nissan/murano/1095978810-fcbaaa62/,860 000 ₽,2011,70 000 км,внедорожник 5 дв.,серебристый,3.5 л / 249 л.с. / Бензин,18 675 ₽ / год,вариатор,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,Z8N**************,******|163,,,
828,Hyundai Creta I,https://auto.ru/cars/used/sale/hyundai/creta/1102121869-f595acec/,820 000 ₽,2017,44 300 км,внедорожник 5 дв.,чёрный,1.6 л / 123 л.с. / Бензин,4 059 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,Z94**************,******|763,,Рассмотрю варианты,
829,Subaru Tribeca I Рестайлинг,https://auto.ru/cars/used/sale/subaru/b9_tribeca/1101763210-cc47b399/,590 000 ₽,2011,117 000 км,внедорожник 5 дв.,серый,3.6 л / 258 л.с. / Бензин,38 700 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,4S4**************,******|763,2 года и 1 месяц,,
830,LADA (ВАЗ) Largus I,https://auto.ru/cars/used/sale/vaz/largus/1102107694-072ca4ff/,360 000 ₽,2012,110 500 км,универсал 5 дв.,белый,1.6 л / 105 л.с. / Бензин,2 520 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTA**************,******|163,,,
831,Kia Optima IV Рестайлинг,https://auto.ru/cars/used/sale/kia/optima/1102229384-886e32da/,1 525 000 ₽,2018,45 200 км,седан,серебристый,2.0 л / 150 л.с. / Бензин,4 950 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XWE**************,******|763,,,
832,Volvo XC90 I Рестайлинг,https://auto.ru/cars/used/sale/volvo/xc90/1087726814-edbf8bcb/,650 000 ₽,2007,149 000 км,внедорожник 5 дв.,чёрный,4.4 л / 315 л.с. / Бензин,47 250 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,YV1**************,******|163,3 года и 7 месяцев,,
833,Alpina D3 E90/E92,https://auto.ru/cars/used/sale/alpina/d3/1101716568-a63d24b8/,1 100 000 ₽,2008,174 000 км,седан,чёрный,2.0 л / 214 л.с. / Дизель,16 050 ₽ / год,автоматическая,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,WAP**************,******|163,,,
834,Subaru XV I Рестайлинг,https://auto.ru/cars/used/sale/subaru/xv/1088992794-8b8c9fab/,1 500 000 ₽,2016,80 000 км,внедорожник 5 дв.,синий,2.0 л / 150 л.с. / Бензин,4 950 ₽ / год,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,JF1**************,******|163,,,
835,Hyundai Creta I,https://auto.ru/cars/used/sale/hyundai/creta/1100975196-a6ebde09/,891 100 ₽,2018,15 471 км,внедорожник 5 дв.,белый,1.6 л / 121 л.с. / Бензин,3 025 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,Z94**************,,2 года и 7 месяцев,,
836,Infiniti QX56 II,https://auto.ru/cars/used/sale/infiniti/qx56/1100306406-a7208380/,1 450 000 ₽,2012,156 000 км,внедорожник 5 дв.,красный,5.6 л / 405 л.с. / Бензин,60 750 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,Z8N**************,******|163,,Рассмотрю варианты,
837,Rover 75 I,https://auto.ru/cars/used/sale/rover/75/1088211822-e5fc8166/,250 000 ₽,2000,222 000 км,седан,зелёный,2.5 л / 177 л.с. / Бензин,7 611 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,SAR**************,******|163,11 лет и 9 месяцев,,
838,Chevrolet Niva I Рестайлинг,https://auto.ru/cars/used/sale/chevrolet/niva/1098157752-8c6e72b6/,200 000 ₽,2009,128 086 км,внедорожник 5 дв.,чёрный,1.7 л / 80 л.с. / Бензин,1 280 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,X9L**************,******|47,,,
839,LADA (ВАЗ) 2121 (4x4) I Рестайлинг (2020),https://auto.ru/cars/used/sale/vaz/2121/1096239936-6b292333/,535 000 ₽,2019,50 км,внедорожник 3 дв.,синий,1.7 л / 83 л.с. / Бензин,1 328 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,,,1 год и 1 месяц,,
840,Subaru Impreza II Рестайлинг 2,https://auto.ru/cars/used/sale/subaru/impreza/1100978460-5678780e/,585 000 ₽,2007,12 000 км,седан,серый,2.0 л / 160 л.с. / Бензин,6 880 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,JF1**************,******|163,,,
841,LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1101893892-7657a64e/,170 000 ₽,2008,179 000 км,седан,чёрный,1.6 л / 98 л.с. / Бензин,1 568 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XTA**************,******|763,,,
842,Subaru Forester I Рестайлинг,https://auto.ru/cars/used/sale/subaru/forester/1097935012-d5bb7a56/,520 000 ₽,2001,87 000 км,универсал 5 дв.,чёрный,2.0 л / 250 л.с. / Бензин,18 750 ₽ / год,механическая,полный,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен,,,******|42,,,SF5***********
843,Mazda CX-9 I Рестайлинг,https://auto.ru/cars/used/sale/mazda/cx_9/1101232968-c674489e/,1 050 000 ₽,2012,141 000 км,внедорожник 5 дв.,белый,3.7 л / 277 л.с. / Бензин,41 550 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,JMZ**************,******|163,,,
844,LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1102083490-6bab59c6/,550 000 ₽,2018,29 800 км,седан,белый,1.6 л / 106 л.с. / Бензин,2 544 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XTA**************,******|763,,,
845,LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1101643033-46534ddc/,170 000 ₽,2008,30 000 км,седан,зелёный,1.6 л / 98 л.с. / Бензин,1 568 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,,XTA**************,******|763,,,
846,LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1091092508-34f6cf9c/,240 000 ₽,2014,71 000 км,седан,белый,1.6 л / 87 л.с. / Бензин,1 392 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTA**************,******|163,3 года и 3 месяца,,
847,Lexus LS  IV Рестайлинг 2 460,https://auto.ru/cars/used/sale/lexus/ls/1101925464-a4f11a82/,2 950 000 ₽,2016,122 000 км,седан,чёрный,4.6 л / 370 л.с. / Бензин,55 500 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,JTH**************,******|763,,,
848,Subaru Outback IV,https://auto.ru/cars/used/sale/subaru/outback/1101101858-0df1918e/,890 000 ₽,2010,130 000 км,универсал 5 дв.,синий,2.0 л / 150 л.с. / Дизель,4 950 ₽ / год,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,JF1**************,******|777,,,
849,Chevrolet Orlando I,https://auto.ru/cars/used/sale/chevrolet/orlando/1095149446-119801fd/,620 000 ₽,2013,138 000 км,компактвэн,серебристый,1.8 л / 141 л.с. / Бензин,4 653 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XUU**************,******|763,,,
850,Toyota Fortuner II,https://auto.ru/cars/used/sale/toyota/fortuner/1101973554-becd17e1/,2 700 000 ₽,2019,21 350 км,внедорожник 5 дв.,белый,2.8 л / 177 л.с. / Дизель,7 611 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,До ноября 2026,MR0**************,******|163,,,
851,LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1097440938-a76e2a91/,90 000 ₽,2008,97 000 км,хэтчбек 5 дв.,серый,1.6 л / 81 л.с. / Бензин,1 296 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,XTA**************,******|163,,,
852,BMW X5  II (E70) Рестайлинг 30d,https://auto.ru/cars/used/sale/bmw/x5/1078146347-ef7bf4/,2 100 000 ₽,2012,103 000 км,внедорожник 5 дв.,чёрный,3.0 л / 245 л.с. / Дизель,18 375 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,X4X**************,******|163,8 лет и 6 месяцев,,
853,Toyota Avensis II,https://auto.ru/cars/used/sale/toyota/avensis/1101993960-22fea9f5/,440 000 ₽,2006,193 677 км,седан,чёрный,2.0 л / 147 л.с. / Бензин,4 851 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,SB1**************,******|763,,,
854,Audi A5 I (8T),https://auto.ru/cars/used/sale/audi/a5/1095445294-a12888f4/,545 000 ₽,2008,170 000 км,купе,чёрный,1.8 л / 170 л.с. / Бензин,7 310 ₽ / год,вариатор,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,WAU**************,******|163,,,
855,Citroen C-Crosser,https://auto.ru/cars/used/sale/citroen/c_crosser/1102221448-a896144c/,675 000 ₽,2012,109 000 км,внедорожник 5 дв.,белый,2.4 л / 170 л.с. / Бензин,7 310 ₽ / год,вариатор,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,Z8T**************,******|763,,,
856,Honda Stream II Рестайлинг,https://auto.ru/cars/used/sale/honda/stream/1099120973-7d17588a/,750 000 ₽,2010,127 598 км,компактвэн,белый,1.8 л / 140 л.с. / Бензин,4 620 ₽ / год,автоматическая,передний,Правый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,,******|161,,,RN63***********
857,Kia Sorento III Prime Рестайлинг,https://auto.ru/cars/used/sale/kia/sorento/1102083662-05d3645b/,1 945 000 ₽,2017,81 200 км,внедорожник 5 дв.,белый,2.4 л / 188 л.с. / Бензин,8 084 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XWE**************,,,,
858,Mazda 6 II (GH) Рестайлинг,https://auto.ru/cars/used/sale/mazda/6/1102158441-5e1dc404/,685 000 ₽,2011,148 000 км,седан,серый,2.0 л / 147 л.с. / Бензин,4 851 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,JMZ**************,******|174,,,
859,Mazda RX-8 I,https://auto.ru/cars/used/sale/mazda/rx_8/1098942824-7db6a181/,400 000 ₽,2004,106 580 км,купе,синий,1.3 л / 192 л.с. / Бензин,8 256 ₽ / год,механическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,JM1**************,******|43,,Рассмотрю варианты,
860,Lincoln Town Car II,https://auto.ru/cars/used/sale/lincoln/town_car/1080215594-118551/,890 000 ₽,1991,300 000 км,седан,синий,4.6 л / 213 л.с. / Бензин,15 975 ₽ / год,автоматическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1LN**************,******|63,,,
861,Lexus GX  I 470,https://auto.ru/cars/used/sale/lexus/gx/1102224282-83f85440/,1 370 000 ₽,2005,185 000 км,внедорожник 5 дв.,серебристый,4.7 л / 235 л.с. / Бензин,17 625 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,JTJ**************,,,,
862,Mazda 6 II (GH),https://auto.ru/cars/used/sale/mazda/6/1100317428-bf50227b/,450 000 ₽,2008,190 000 км,лифтбек,чёрный,1.8 л / 120 л.с. / Бензин,2 880 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,JMZ**************,******|73,,,
863,Hyundai ix35 I,https://auto.ru/cars/used/sale/hyundai/ix35/1084464107-4340ae37/,540 783 ₽,2010,122 904 км,внедорожник 5 дв.,синий,2.0 л / 150 л.с. / Бензин,2 010 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,U5Y**************,,10 лет,,
864,Volkswagen Golf I,https://auto.ru/cars/used/sale/volkswagen/golf/1087405292-429ae930/,500 000 ₽,1982,2 000 км,хэтчбек 3 дв.,голубой,1.1 л / 50 л.с. / Бензин,800 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,WVW**************,******|750,2 года и 11 месяцев,Рассмотрю варианты,
865,Audi A6 allroad II (C6),https://auto.ru/cars/used/sale/audi/allroad/1093411600-e0271229/,470 000 ₽,2007,165 000 км,универсал 5 дв.,серый,3.1 л / 255 л.с. / Бензин,38 250 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,WAU**************,******|163,,,
866,Renault Duster I,https://auto.ru/cars/used/sale/renault/duster/1094067492-5237e98c/,549 000 ₽,2013,82 000 км,внедорожник 5 дв.,серый,1.6 л / 102 л.с. / Бензин,2 448 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,X7L**************,,,,
867,Chevrolet Cruze I Рестайлинг,https://auto.ru/cars/used/sale/chevrolet/cruze/1101390697-18d33580/,420 000 ₽,2012,134 500 км,седан,белый,1.6 л / 109 л.с. / Бензин,2 616 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,,XUF**************,******|763,,,
868,Honda Civic V,https://auto.ru/cars/used/sale/honda/civic/1097949354-0ed406a2/,140 000 ₽,1993,350 000 км,седан,фиолетовый,1.5 л / 92 л.с. / Бензин,1 472 ₽ / год,механическая,передний,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен,,,******|163,,,EG81***********
869,FAW Oley,https://auto.ru/cars/used/sale/faw/oley/1096559006-0a776097/,270 000 ₽,2014,84 328 км,седан,серый,1.5 л / 102 л.с. / Бензин,2 448 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,LFP**************,******|82,,,
870,LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1095545388-27bd101c/,657 000 ₽,2019,9 700 км,седан,серебристый,1.6 л / 106 л.с. / Бензин,2 544 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XTA**************,******|763,,,
871,Subaru Impreza WRX II Рестайлинг 1,https://auto.ru/cars/used/sale/subaru/impreza_wrx/1097048226-013927e4/,500 000 ₽,2003,160 000 км,седан,серебристый,2.0 л / 225 л.с. / Бензин,16 875 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,JF1**************,******|116,,,
872,LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1099374004-53ee5138/,100 000 ₽,1994,150 000 км,внедорожник 3 дв.,белый,1.7 л / 79 л.с. / Бензин,1 264 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XTA**************,******|163,3 года и 6 месяцев,,
873,LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1102210965-38e46cac/,350 000 ₽,2019,43 000 км,седан,синий,1.6 л / 87 л.с. / Бензин,1 392 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XTA**************,******|763,,,
874,Mitsubishi Lancer X,https://auto.ru/cars/used/sale/mitsubishi/lancer/1098061196-532ce816/,350 000 ₽,2008,150 000 км,седан,синий,2.0 л / 150 л.с. / Бензин,4 950 ₽ / год,вариатор,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,JMB**************,******|163,1 год и 7 месяцев,Рассмотрю варианты,
875,Chevrolet Cobalt II,https://auto.ru/cars/used/sale/chevrolet/cobalt/1102243911-fa772814/,310 000 ₽,2013,70 000 км,седан,серый,"1.5 л / 105 л.с. / Бензин, газобаллонное оборудование",2 520 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XWB**************,******|763,,,
876,Ford Focus III,https://auto.ru/cars/used/sale/ford/focus/1100757322-b31fd7f5/,375 000 ₽,2012,136 000 км,хэтчбек 5 дв.,чёрный,1.6 л / 125 л.с. / Бензин,4 125 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,X9F**************,******|163,,,
877,ГАЗ 69,https://auto.ru/cars/used/sale/gaz/69/1099330318-120f7a0b/,100 000 ₽,1955,50 000 км,внедорожник 3 дв.,зелёный,2.1 л / 55 л.с. / Бензин,880 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,,******|763,,,
878,Toyota RAV4 III (XA30),https://auto.ru/cars/used/sale/toyota/rav_4/1096390550-2ba2a0e4/,820 000 ₽,2010,146 000 км,внедорожник 5 дв.,чёрный,2.0 л / 158 л.с. / Бензин,6 794 ₽ / год,вариатор,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,JTM**************,******|163,3 года и 11 месяцев,,
879,"Toyota Corolla X (E140, E150) Рестайлинг",https://auto.ru/cars/used/sale/toyota/corolla/1102236278-a5005c67/,780 000 ₽,2011,44 353 км,седан,чёрный,1.6 л / 124 л.с. / Бензин,4 092 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,JTN**************,******|163,9 лет и 10 месяцев,,
880,LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1097980066-dab481f2/,110 000 ₽,2007,115 000 км,хэтчбек 5 дв.,синий,1.4 л / 89 л.с. / Бензин,1 424 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XTA**************,******|163,,,
881,SsangYong Rexton II,https://auto.ru/cars/used/sale/ssang_yong/rexton/1101657150-7aadffbd/,610 000 ₽,2011,67 000 км,внедорожник 5 дв.,чёрный,2.7 л / 163 л.с. / Дизель,7 009 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,Z8U**************,******|763,,,
882,LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1102246690-38cbc1bc/,No_info,,,,,,,,,,,,,,,,,,,
